cidade,data,insolacao,precipitacao,temp_max,temp_media,temp_min,umidade,vento
Patos,2021-02-23,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-24,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-25,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-26,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-27,NA,NA,NA,NA,NA,NA,NA
Patos,2021-02-28,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-01,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-02,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-03,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-04,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-05,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-06,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-07,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-08,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-09,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-10,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-11,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-12,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-13,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-14,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-15,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-16,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-17,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-18,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-19,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-20,NA,NA,NA,NA,NA,NA,NA
Patos,2021-03-21,NA,NA,NA,NA,NA,NA,NA
